"","govact","posemot","negemot","ideology","age","sex","partyid"
"679",2.4,2,6,4,42,0,1
"680",6.8,3,3.33,2,70,0,1
"681",5,5.33,4,4,73,1,2
"682",4,4.67,4.67,4,42,0,2
"683",3.8,1.67,2.67,7,42,0,3
"684",4.6,4.33,3.33,5,23,0,3
"685",3.6,5.67,1.67,4,19,0,1
"686",5,2.67,5.33,4,22,1,2
"687",5,6,6,3,30,0,2
"688",6.8,6,6,4,51,1,2
"689",1.6,1,1,7,34,1,3
"690",5,4,4,3,63,0,2
"691",4,2,4,4,29,1,2
"692",6.4,2,4.67,4,46,0,3
"693",5,2,4.33,4,43,0,2
"694",3.6,3,1.33,4,56,0,2
"695",2.4,5,2,7,48,1,3
"696",4,3,3,4,64,0,1
"697",7,6,6,1,22,0,1
"698",4.4,3.33,4.33,5,44,1,3
"699",4.6,3.33,3.33,5,25,0,3
"700",3.4,2,2,4,24,1,2
"701",4.2,3,6,2,55,0,2
"702",4.6,3,3.33,2,41,0,1
"703",5.8,2.33,3.67,2,65,0,1
"704",6.2,4.67,4.33,5,36,0,3
"705",5.4,3,6,2,56,1,1
"706",5.4,5.67,4,6,36,0,3
"707",4.8,1.33,5.67,4,36,0,2
"708",3.4,5.67,5,4,29,0,2
"709",5.2,3.67,1.67,5,44,0,1
"710",3.4,2,3.33,3,40,0,1
"711",4.2,3.33,2.67,4,51,0,1
"712",2.2,3.33,3.67,4,30,1,2
"713",6.2,1.33,2,4,43,0,3
"714",4.6,4.67,4,4,50,1,1
"715",5.6,4.33,3,3,40,0,1
"716",6.6,4,5.33,3,56,1,1
"717",6.4,1.67,1.67,5,65,0,3
"718",5.6,2.33,5.33,5,62,1,3
"719",7,3,5,1,22,0,1
"720",3.6,6,6,4,43,1,2
"721",6.2,4.67,6,3,34,1,2
"722",4,3,3.67,4,29,1,2
"723",5.2,2.67,4,4,44,0,3
"724",4,4,2.33,4,32,0,3
"725",2.2,3,1,6,59,1,3
"726",6.4,3.67,5.67,1,66,1,1
"727",4.2,4,5,4,66,0,1
"728",2.6,1,2,5,44,0,3
"729",2,4.33,2,6,72,1,3
"730",5,4,4,4,68,1,2
"731",6,3.33,4,4,33,1,1
"732",6,4.33,4.67,4,17,1,2
"733",5.2,3.33,5.67,2,32,0,1
"734",6.6,4,4.33,3,63,1,2
"735",5,1,2,4,54,0,3
"736",5.8,3.33,5.33,3,59,1,1
"737",5.6,3.33,5.33,6,65,1,2
"738",5.6,2,3.67,5,59,1,2
"739",6,5.33,5.67,4,42,0,1
"740",4.4,3.33,3.67,3,48,1,1
"741",5.6,2.33,6,4,45,1,1
"742",5.2,5.67,4.67,5,43,0,3
"743",5,1.33,4.67,4,60,0,1
"744",4.2,3,3,2,71,0,1
"745",4.4,5,5.33,5,41,1,1
"746",5.2,1,5,2,38,0,1
"747",5.2,3,6,3,29,1,1
"748",5.2,5,3,4,36,0,3
"749",4.6,1,2.67,1,63,0,1
"750",6.4,3.67,3,4,55,1,1
"751",5.4,3,3,4,41,0,1
"752",2.6,1,1,6,67,0,3
"753",4.2,4,4,4,49,0,2
"754",3.6,2,5.33,6,42,0,1
"755",4.4,2.33,2.67,4,40,0,2
"756",6.2,2,5.33,4,31,0,1
"757",5.8,2.67,5,3,44,0,2
"758",5.6,3.67,3.67,3,55,1,2
"759",1.8,1,1,7,63,1,3
"760",5.8,3.33,6,4,34,0,2
"761",4,1.67,1.33,5,46,1,3
"762",5,4.33,3.67,4,19,1,3
"763",5.4,2,4.67,4,57,0,2
"764",5.4,3.67,4,2,49,0,1
"765",4,3.67,4.33,3,26,0,1
"766",5.4,4,5,5,62,1,3
"767",4,5.33,4.33,1,43,0,2
"768",4,2.33,2.67,4,42,0,2
"769",5,2.33,5,2,21,0,1
"770",2.2,5,1,4,54,0,2
"771",3.4,3.67,2,5,19,0,3
"772",6,1.33,2.33,2,35,0,1
"773",5.8,1,5,4,54,1,1
"774",7,1,2,6,27,0,2
"775",2.4,3.67,1.67,6,38,0,3
"776",4.6,3.67,3.67,4,51,1,3
"777",5.4,2,5.33,4,28,0,1
"778",5.2,4,3.33,4,41,0,1
"779",4.6,3.33,5.33,2,27,0,2
"780",4,4,4,4,33,1,2
"781",4.6,5,5.67,6,33,0,1
"782",3.2,2.67,4,5,29,0,3
"783",5,5,4,1,79,0,1
"784",6.8,3.33,4.67,2,67,0,1
"785",4.2,4,4,4,49,0,2
"786",5.6,5,2.33,5,31,1,3
"787",5,3,2.33,4,39,0,1
"788",5,1.33,6,4,31,0,2
"789",2,1,1,7,42,0,3
"790",1.8,2.67,1.67,6,40,0,3
"791",5.8,1.67,6,3,44,0,1
"792",4.4,3.33,1,5,18,1,2
"793",5.8,2.33,5,4,40,0,1
"794",5.4,5,5.67,4,38,0,2
"795",4.8,2,5.33,6,31,0,3
"796",5.8,2,4.67,3,36,0,1
"797",4,1,1,6,52,0,3
"798",7,1.67,5.33,3,50,0,1
"799",4.2,2,4,1,36,0,3
"800",5.2,3.33,5,3,27,1,2
"801",4.8,1,4,2,29,0,1
"802",5.2,4.67,4.67,2,42,0,1
"803",5.2,2.67,1.67,4,58,1,3
"804",6.8,3.33,4.67,4,30,1,2
"805",7,3,6,4,48,0,2
"806",5.8,3.67,3.67,2,40,1,1
"807",5.6,3.67,5.33,3,43,0,1
"808",4.6,3,2,6,52,1,3
"809",5.8,1.67,6,5,18,0,3
"810",5.8,1.33,5.33,3,58,1,2
"811",3.2,4,5,4,52,1,2
"812",3.4,1,1,7,67,0,3
"813",1.6,3.67,1.67,7,72,1,3
"814",5.4,2.67,3.33,6,36,0,2
"815",5.4,5.33,6,4,82,1,1
